"","tiplabel","longlabel","stringdates","refclade"
"5712","LC090979","LC090979,A/Gifu/58-514/2013,2013/01/31","2013/01/31","3c2"
"5713","LC090978","LC090978,A/Gifu/75-115/2013,2013/01/07","2013/01/07","3c2"
"5714","LC111591","LC111591,A/Okinawa/JP-39/2014,2014/01/21","2014/01/21","3c2"
"5715","LC111596","LC111596,A/Okinawa/JP-30/2014,2014/01/15","2014/01/15","3c2"
"5716","KR611829","KR611829,A/Rochester/0055/2012,2012/12/12","2012/12/12","3c2"
"5717","KR611831","KR611831,A/Rochester/0055/2012,2012/12/12","2012/12/12","3c2"
"5718","CY148804","CY148804,A/Boston/DOA2-166/2013,2013/01/04","2013/01/04","3c2"
"5719","KF790323","KF790323,A/New","0323,A/New","3c2"
"5720","KF790190","KF790190,A/Michigan/25/2012,2012/10/02","2012/10/02","3c2"
"5721","KF789728","KF789728,A/North","28,A/North","3c2"
"5722","CY170503","CY170503,A/Santa","03,A/Santa","3c2"
"5723","KF790509","KF790509,A/California/11/2013,2013/01/24","2013/01/24","3c2"
"5724","KF789646","KF789646,A/Idaho/02/2013,2013/01/15","2013/01/15","3c2"
"5725","KF886321","KF886321,A/Arizona/NHRC394047/2013,2013/01/06","2013/01/06","3c2"
"5726","KF790373","KF790373,A/Ohio/01/2013,2013/01/14","2013/01/14","3c2"
"5727","KF790009","KF790009,A/South","09,A/South","3c2"
"5728","KF790051","KF790051,A/South","51,A/South","3c2"
"5729","KF789794","KF789794,A/South","94,A/South","3c2"
"5730","KF789688","KF789688,A/South","88,A/South","3c2"
"5731","CY134656","CY134656,A/South","56,A/South","3c2"
"5732","CY134663","CY134663,A/Ohio/3107/2012,2012/12/04","2012/12/04","3c2"
"5733","KF789769","KF789769,A/Ohio/102/2012,2012/11/16","2012/11/16","3c2"
"5734","CY141281","CY141281,A/Washington/3266/2013,2013/01/07","2013/01/07","3c2"
"5735","KF790454","KF790454,A/Nevada/02/2013,2013/02/01","2013/02/01","3c2"
"5736","KF789923","KF789923,A/North","23,A/North","3c2"
"5737","KF790452","KF790452,A/South","52,A/South","3c2"
"5738","KF790135","KF790135,A/New","0135,A/New","3c2"
"5739","CY141270","CY141270,A/Virginia/3255/2013,2013/01/03","2013/01/03","3c2"
"5740","KF790213","KF790213,A/Iowa/13/2012,2012/10/03","2012/10/03","3c2"
"5741","KF789546","KF789546,A/California/13/2013,2013/01/22","2013/01/22","3c2"
"5742","CY182745","CY182745,A/Houston/JMM_68/2012,2012/12/13","2012/12/13","3c2"
"5743","CY182817","CY182817,A/Houston/JMM_77/2012,2012/12/16","2012/12/16","3c2"
"5744","KF790512","KF790512,A/Idaho/01/2013,2013/01/04","2013/01/04","3c2"
"5745","CY148356","CY148356,A/Boston/DOA2-104/2012,2012/12/22","2012/12/22","3c2"
"5746","KY116975","KY116975,A/West","975,A/West","3c2"
"5747","KF789605","KF789605,A/West","605,A/West","3c2"
"5748","CY169767","CY169767,A/Boston/YGA_01170/2013,2013/01/13","2013/01/13","3c2"
"5749","KF789722","KF789722,A/Ohio/97/2012,2012/12/09","2012/12/09","3c2"
"5750","CY163424","CY163424,A/Georgia/3436/2013,2013/01/24","2013/01/24","3c2"
"5751","KF790125","KF790125,A/Missouri/04/2013,2013/03/15","2013/03/15","3c2"
"5752","CY168455","CY168455,A/Boston/YGA_00091/2013,2013/02/04","2013/02/04","3c2"
"5753","CY169823","CY169823,A/Boston/YGA_01180/2013,2013/01/20","2013/01/20","3c2"
"5754","CY168815","CY168815,A/Boston/YGA_01042/2012,2012/12/25","2012/12/25","3c2"
"5755","CY170047","CY170047,A/Boston/YGA_01212/2013,2013/02/20","2013/02/20","3c2"
"5756","CY169751","CY169751,A/Boston/YGA_01168/2013,2013/01/11","2013/01/11","3c2"
"5757","CY170807","CY170807,A/Santa","07,A/Santa","3c2"
"5758","CY169935","CY169935,A/Boston/YGA_01197/2013,2013/01/28","2013/01/28","3c2"
"5759","CY168551","CY168551,A/Boston/YGA_01004/2012,2012/12/20","2012/12/20","3c2"
"5760","CY148652","CY148652,A/Boston/DOA2-143/2012,2012/12/18","2012/12/18","3c2"
"5761","CY169551","CY169551,A/Boston/YGA_01143/2013,2013/01/04","2013/01/04","3c2"
"5762","CY149268","CY149268,A/Boston/DOA2-239/2013,2013/01/09","2013/01/09","3c2"
"5763","CY168575","CY168575,A/Boston/YGA_01008/2012,2012/12/20","2012/12/20","3c2"
"5764","CY168647","CY168647,A/Boston/YGA_01017/2012,2012/12/21","2012/12/21","3c2"
"5765","CY141195","CY141195,A/Florida/3180/2013,2013/01/07","2013/01/07","3c2"
"5766","CY170359","CY170359,A/Boston/YGA_02041/2013,2013/01/21","2013/01/21","3c2"
"5767","CY149012","CY149012,A/Boston/DOA2-194/2013,2013/01/17","2013/01/17","3c2"
"5768","CY169407","CY169407,A/Boston/YGA_01124/2013,2013/01/02","2013/01/02","3c2"
"5769","CY148724","CY148724,A/Boston/DOA2-153/2013,2013/01/18","2013/01/18","3c2"
"5770","CY169103","CY169103,A/Boston/YGA_01081/2012,2012/12/28","2012/12/28","3c2"
"5771","CY170639","CY170639,A/Santa","39,A/Santa","3c2"
"5772","CY169959","CY169959,A/Boston/YGA_01200/2013,2013/02/01","2013/02/01","3c2"
"5773","CY170351","CY170351,A/Boston/YGA_02040/2013,2013/01/20","2013/01/20","3c2"
"5774","CY171191","CY171191,A/Chicago/YGA_04037/2012,2012/12/13","2012/12/13","3c2"
"5775","CY167796","CY167796,A/Boston/YGA_00073/2013,2013/01/18","2013/01/18","3c2"
"5776","CY149212","CY149212,A/Boston/DOA2-229/2013,2013/01/11","2013/01/11","3c2"
"5777","CY167935","CY167935,A/Boston/YGA_00009/2012,2012/12/20","2012/12/20","3c2"
"5778","CY168911","CY168911,A/Boston/YGA_01054/2012,2012/12/26","2012/12/26","3c2"
"5779","CY169487","CY169487,A/Boston/YGA_01134/2013,2013/01/03","2013/01/03","3c2"
"5780","CY149092","CY149092,A/Boston/DOA2-213/2013,2013/01/22","2013/01/22","3c2"
"5781","CY169575","CY169575,A/Boston/YGA_01146/2013,2013/01/05","2013/01/05","3c2"
"5782","CY149044","CY149044,A/Boston/DOA2-202/2013,2013/01/11","2013/01/11","3c2"
"5783","CY148476","CY148476,A/Boston/DOA2-120/2012,2012/12/24","2012/12/24","3c2"
"5784","CY169151","CY169151,A/Boston/YGA_01088/2012,2012/12/29","2012/12/29","3c2"
"5785","KJ741957","KJ741957,A/Connecticut/Flu008/2012,2012/12/30","2012/12/30","3c2"
"5786","KJ741956","KJ741956,A/Connecticut/Flu007/2012,2012/12/30","2012/12/30","3c2"
"5787","CY167820","CY167820,A/Boston/YGA_01177/2013,2013/01/19","2013/01/19","3c2"
"5788","CY135052","CY135052,A/Texas/JMM_45/2012,2012/12/03","2012/12/03","3c2"
"5789","KP335935","KP335935,A/Thailand/CU-B8525/2013,2013/10/05","2013/10/05","3c2"
"5790","KP335937","KP335937,A/Thailand/CU-A411/2013,2013/10/17","2013/10/17","3c2"
"5791","KP335946","KP335946,A/Thailand/CU-A598/2014,2014/01/07","2014/01/07","3c"
"5792","KP335923","KP335923,A/Thailand/CU-A164/2013,2013/07/10","2013/07/10","3c"
"5793","KF789582","KF789582,A/North","82,A/North","3c2"
"5794","CY251199","CY251199,A/Victoria/692/2012,2012/08/01","2012/08/01","3c2"
"5795","KF789571","KF789571,A/Alabama/07/2013,2013/05/22","2013/05/22","3c2"
"5796","KF886355","KF886355,A/Ontario/018/2013,2013/01/18","2013/01/18","3c2"
"5797","KF886356","KF886356,A/Ontario/017/2013,2013/01/11","2013/01/11","3c2"
"5798","KF886360","KF886360,A/Ontario/015/2013,2013/01/10","2013/01/10","3c2"
"5799","KF886353","KF886353,A/Ontario/021/2013,2013/01/22","2013/01/22","3c2"
"5800","KF886359","KF886359,A/Ontario/013/2013,2013/01/15","2013/01/15","3c2"
"5801","KF789550","KF789550,A/Nevada/04/2013,2013/02/04","2013/02/04","3c2"
"5802","KT889258","KT889258,A/Budapest/1514A07805419T/2013,2013/02/05","2013/02/05","3c2"
"5803","KF952362","KF952362,A/Delhi/9971/2012,2012/12/07","2012/12/07","3c"
"5804","KF952361","KF952361,A/Haryana/9932/2012,2012/11/20","2012/11/20","3c"
"5805","KF886349","KF886349,A/Ontario/028/2013,2013/01/29","2013/01/29","3c"
"5806","KC526208","KC526208,A/Ontario/002/2013,2013/01/02","2013/01/02","3c"
"5807","KC526204","KC526204,A/Ontario/030/2012,2012/12/28","2012/12/28","3c2"
"5808","CY148860","CY148860,A/Boston/DOA2-173/2013,2013/01/06","2013/01/06","3c2"
"5809","CY183209","CY183209,A/Houston/JMM_130/2013,2013/01/09","2013/01/09","3c2"
"5810","CY171367","CY171367,A/Chicago/YGA_04096/2012,2012/12/26","2012/12/26","3c2"
"5811","KJ741959","KJ741959,A/Missouri/Flu012/2012,2012/12/30","2012/12/30","3c2"
"5812","KT889248","KT889248,A/Kabul/1514A01305436N/2013,2013/01/15","2013/01/15","3c2"
"5813","KT889244","KT889244,A/Kabul/1514A01305426N/2013,2013/01/13","2013/01/13","3c2"
"5814","KT889243","KT889243,A/Kabul/1514A01305424T/2013,2013/01/16","2013/01/16","3c2"
"5815","KT889246","KT889246,A/Kabul/1514A01305430N/2013,2013/01/07","2013/01/07","3c2"
"5816","CY251479","CY251479,A/South","79,A/South","3c2"
"5817","KF790244","KF790244,A/Indiana/162/2012,2012/11/08","2012/11/08","3c2"
"5818","KF789579","KF789579,A/Indiana/164/2012,2012/11/14","2012/11/14","3c2"
"5819","CY141190","CY141190,A/Florida/3175/2013,2013/01/02","2013/01/02","3c2"
"5820","KF886332","KF886332,A/California/NHRC395507/2013,2013/02/14","2013/02/14","3c2"
"5821","KF790205","KF790205,A/Colorado/18/2012,2012/10/13","2012/10/13","3c2"
"5822","KF790104","KF790104,A/Colorado/18/2012,2012/10/13","2012/10/13","3c2"
"5823","CY141203","CY141203,A/Guam/3188/2012,2012/12/12","2012/12/12","3c2"
"5824","CY141204","CY141204,A/Guam/3189/2012,2012/12/17","2012/12/17","3c2"
"5825","CY170207","CY170207,A/Boston/YGA_02017/2012,2012/12/31","2012/12/31","3c2"
"5826","KR611285","KR611285,A/Wisconsin/V130176/2012,2012/12/01","2012/12/01","3c2"
"5827","CY182905","CY182905,A/Houston/JMM_90/2012,2012/12/22","2012/12/22","3c2"
"5828","CY251455","CY251455,A/Brisbane/1/2013,2013/01/03","2013/01/03","3c2"
"5829","KF952360","KF952360,A/Delhi/9874/2012,2012/10/29","2012/10/29","3c2"
"5830","KF952359","KF952359,A/Chhattisgarh/9873/2012,2012/10/26","2012/10/26","3c2"
"5831","KJ943101","KJ943101,A/Santiago/op20d1/2012,2012/11/08","2012/11/08","3c"
"5832","LC090987","LC090987,A/Ishikawa/91-262v/2013,2013/01/15","2013/01/15","3c"
"5833","KM069581","KM069581,A/Singapore/S2013.044/2013,2013/01/16","2013/01/16","3c"
"5834","KC892661","KC892661,A/Hawaii/16/2012,2012/08/04","2012/08/04","3c"
"5835","KM069570","KM069570,A/Singapore/H2012.567/2012,2012/07/25","2012/07/25","3c"
"5836","KC892859","KC892859,A/Idaho/22/2012,2012/07/28","2012/07/28","3c"
"5837","LC090983","LC090983,A/Kagawa/54-164/2013,2013/01/09","2013/01/09","3c"
"5838","CY125681","CY125681,A/Guangdong/1154/2012,2012/04/25","2012/04/25","3c"
"5839","LC090985","LC090985,A/Fukuoka/68-550/2013,2013/02/15","2013/02/15","3c"
"5840","LC090984","LC090984,A/Tokyo/63-249/2013,2013/01/15","2013/01/15","3c"
"5841","LC090986","LC090986,A/Tokyo/74-3-94v/2013,2013/01/07","2013/01/07","3c"
"5842","AB796432","AB796432,A/Hokkaido/30-1-a/2013,2013/01/11","2013/01/11","3c"
"5843","CY167951","CY167951,A/Boston/YGA_00011/2012,2012/12/27","2012/12/27","3c"
"5844","KM069565","KM069565,A/Singapore/H2012.375/2012,2012/05/16","2012/05/16","3c"
"5845","KR611280","KR611280,A/Wisconsin/U131392/2013,2013/02/01","2013/02/01","3c"
"5846","KJ942991","KJ942991,A/Santiago/p37d0/2012,2012/10/30","2012/10/30","3c"
"5847","KC892786","KC892786,A/Hawaii/21/2012,2012/08/04","2012/08/04","3c"
"5848","KF790398","KF790398,A/District","A/District","3c"
"5849","KC893133","KC893133,A/Michigan/22/2012,2012/08/13","2012/08/13","3c"
"5850","KC892532","KC892532,A/Kentucky/12/2012,2012/08/03","2012/08/03","3c"
"5851","KF790019","KF790019,A/New","0019,A/New","3c"
"5852","KF789615","KF789615,A/Oklahoma/06/2013,2013/02/05","2013/02/05","3c"
"5853","CY147292","CY147292,A/Oklahoma/3400/2013,2013/01/28","2013/01/28","3c"
"5854","KF790138","KF790138,A/North","38,A/North","3c"
"5855","KP638014","KP638014,A/Thailand/KS10521/2012,2012/11/16","2012/11/16","3c"
"5856","KC893064","KC893064,A/Idaho/20/2012,2012/06/09","2012/06/09","3c"
"5857","KC892204","KC892204,A/Hawaii/13/2012,2012/07/25","2012/07/25","3c"
"5858","KF805672","KF805672,A/Helsinki/879/2013,2013/02/24","2013/02/24","3c"
"5859","KR611306","KR611306,A/Wisconsin/V131172/2013,2013/02/01","2013/02/01","3c"
"5860","KT734907","KT734907,A/Wisconsin/50/2013,2013/03/04","2013/03/04","3c"
"5861","KR611255","KR611255,A/Wisconsin/U130593/2013,2013/01/01","2013/01/01","3c"
"5862","KC526207","KC526207,A/Ontario/001/2013,2013/01/02","2013/01/02","3c"
"5863","CY141259","CY141259,A/South","59,A/South","3c"
"5864","CY170471","CY170471,A/Santa","71,A/Santa","3c"
"5865","CY135100","CY135100,A/Texas/JMM_51/2012,2012/12/06","2012/12/06","3c"
"5866","CY182913","CY182913,A/Houston/JMM_91/2012,2012/12/22","2012/12/22","3c"
"5867","CY134860","CY134860,A/Texas/JMM_19/2012,2012/11/25","2012/11/25","3c"
"5868","CY134892","CY134892,A/Texas/JMM_23/2012,2012/11/25","2012/11/25","3c"
"5869","CY141253","CY141253,A/Oklahoma/3238/2013,2013/01/07","2013/01/07","3c"
"5870","KC999475","KC999475,A/Tunisia/2494/2013,2013/01/29","2013/01/29","3c"
"5871","CY183305","CY183305,A/Houston/JMM_145/2013,2013/01/14","2013/01/14","3c"
"5872","CY170975","CY170975,A/Santa","75,A/Santa","3c"
"5873","CY251447","CY251447,A/Victoria/700/2013,2013/02/01","2013/02/01","3c"
"5874","KC893143","KC893143,A/Pennsylvania/18/2012,2012/08/28","2012/08/28","3c"
"5875","CY171647","CY171647,A/Chicago/YGA_04142/2013,2013/01/04","2013/01/04","3c"
"5876","CY171135","CY171135,A/Chicago/YGA_04015/2012,2012/12/06","2012/12/06","3c"
"5877","CY171615","CY171615,A/Chicago/YGA_04133/2013,2013/01/02","2013/01/02","3c"
"5878","KT734899","KT734899,A/Michigan/23/2013,2013/01/12","2013/01/12","3c"
"5879","KU299847","KU299847,A/Cambodia/W1023355/2012,2012/10/18","2012/10/18","3c"
"5880","CY251247","CY251247,A/Sydney/205/2012,2012/05/28","2012/05/28","3c"
"5881","CY251343","CY251343,A/South","43,A/South","3c"
"5882","KC892971","KC892971,A/California/31/2012,2012/05/01","2012/05/01","3c"
"5883","CY134884","CY134884,A/Texas/JMM_22/2012,2012/11/25","2012/11/25","3c"
"5884","KF790100","KF790100,A/Wyoming/18/2012,2012/10/05","2012/10/05","3c"
"5885","CY169495","CY169495,A/Boston/YGA_01135/2013,2013/01/03","2013/01/03","3c"
"5886","MG196335","MG196335,A/Beijinghuairou/483/2013,2013/10/15","2013/10/15","3c3"
"5887","MG196339","MG196339,A/Beijinghuairou/690/2013,2013/11/05","2013/11/05","3c3"
"5888","MG196341","MG196341,A/Beijinghuairou/746/2013,2013/12/12","2013/12/12","3c3"
"5889","MG196338","MG196338,A/Beijinghuairou/678/2013,2013/11/05","2013/11/05","3c3"
"5890","MG196336","MG196336,A/Beijinghuairou/645/2013,2013/10/30","2013/10/30","3c3"
"5891","MG196340","MG196340,A/Beijinghuairou/712/2013,2013/12/01","2013/12/01","3c3"
"5892","MG196337","MG196337,A/Beijinghuairou/651/2013,2013/11/02","2013/11/02","3c"
"5893","MG196334","MG196334,A/Beijinghuairou/1216/2013,2013/11/21","2013/11/21","3c3"
"5894","MG196333","MG196333,A/Beijinghuairou/1092/2013,2013/11/06","2013/11/06","3c3"
"5895","MG196330","MG196330,A/Beijing/0015/2014,2014/01/14","2014/01/14","3c"
"5896","MG196332","MG196332,A/Beijing/11867/2013,2013/12/23","2013/12/23","3c3"
"5897","MG196331","MG196331,A/Beijing/0017/2014,2014/01/14","2014/01/14","3c3"
"5898","KX687772","KX687772,A/Beijinghuairou/0493/2015,2015/01/12","2015/01/12","3c3"
"5899","KX687773","KX687773,A/Beijinghuairou/0495/2015,2015/01/13","2015/01/13","3c3"
"5900","KX687775","KX687775,A/Beijinghuairou/0496/2015,2015/01/12","2015/01/12","3c3"
"5901","KX687774","KX687774,A/Beijingxicheng/1045/2014,2014/11/24","2014/11/24","3c3"
"5902","KX687776","KX687776,A/Beijingfengtai/0041/2014,2014/12/06","2014/12/06","3c3"
"5903","KX687777","KX687777,A/Beijingfengtai/0036/2014,2014/12/01","2014/12/01","3c3"
"5904","KM208533","KM208533,A/Hangzhou/A155/2013,2013/02/25","2013/02/25","3c3"
"5905","KT734894","KT734894,A/Michigan/25/2013,2013/01/24","2013/01/24","3c3"
"5906","KM244536","KM244536,A/Mississippi/4/2013,2013/01/04","2013/01/04","3c3"
"5907","KT734893","KT734893,A/Michigan/28/2013,2013/01/28","2013/01/28","3c3"
"5908","KF790257","KF790257,A/Alabama/18/2012,2012/10/29","2012/10/29","3c3"
"5909","KF789623","KF789623,A/Kentucky/03/2013,2013/02/07","2013/02/07","3c3"
"5910","KF789662","KF789662,A/Alabama/17/2012,2012/09/05","2012/09/05","3c3"
"5911","KF789600","KF789600,A/Montana/13/2012,2012/11/17","2012/11/17","3c3"
"5912","KM064444","KM064444,A/Massachusetts/14/2013,2013/09/21","2013/09/21","3c3"
"5913","KM064031","KM064031,A/Nevada/07/2013,2013/10/08","2013/10/08","3c3"
"5914","KM064469","KM064469,A/New","4469,A/New","3c3"
"5915","KM244538","KM244538,A/Mississippi/17/2013,2013/01/09","2013/01/09","3c3"
"5916","MH128085","MH128085,A/Dhaka/407746/2013,2013/01/31","2013/01/31","3c3"
"5917","KF789591","KF789591,A/New","9591,A/New","3c"
"5918","KM064240","KM064240,A/Michigan/19/2013,2013/12/16","2013/12/16","3c3"
"5919","KF790408","KF790408,A/Texas/11/2013,2013/04/29","2013/04/29","3c3"
"5920","KM208530","KM208530,A/Hangzhou/B48/2013,2013/01/29","2013/01/29","3c3"
"5921","KF790416","KF790416,A/Iowa/01/2013,2013/01/04","2013/01/04","3c3"
"5922","KF790414","KF790414,A/Nebraska/03/2013,2013/01/02","2013/01/02","3c3"
"5923","KM208522","KM208522,A/Hangzhou/A289/2012,2012/07/13","2012/07/13","3c3"
"5924","KT734891","KT734891,A/Michigan/24/2013,2013/01/24","2013/01/24","3c3"
"5925","KF790232","KF790232,A/Iowa/14/2012,2012/10/18","2012/10/18","3c3"
"5926","KT734912","KT734912,A/Wisconsin/54/2012,2012/12/28","2012/12/28","3c3"
"5927","KF790459","KF790459,A/North","59,A/North","3c3"
"5928","CY163426","CY163426,A/New","3426,A/New","3c3"
"5929","KJ880918","KJ880918,A/Czech","18,A/Czech","3c3"
"5930","KT889254","KT889254,A/Pristina/1514A06505401N/2013,2013/02/06","2013/02/06","3c3"
"5931","CY170951","CY170951,A/Santa","51,A/Santa","3c3"
"5932","KR611258","KR611258,A/Wisconsin/U130661/2013,2013/01/01","2013/01/01","3c3"
"5933","KM208531","KM208531,A/Hangzhou/A121/2013,2013/02/17","2013/02/17","3c3"
"5934","KF789838","KF789838,A/Wisconsin/06/2013,2013/03/05","2013/03/05","3c3"
"5935","CY170103","CY170103,A/Boston/YGA_02001/2012,2012/12/06","2012/12/06","3c3"
"5936","CY148516","CY148516,A/Boston/DOA2-125/2012,2012/12/26","2012/12/26","3c3"
"5937","KF789841","KF789841,A/New","9841,A/New","3c3"
"5938","CY168311","CY168311,A/Boston/YGA_00068/2013,2013/02/28","2013/02/28","3c3"
"5939","MF150435","MF150435,A/Guangdong/114/2013,2013/03/26","2013/03/26","3c3"
"5940","CY187685","CY187685,A/Japan/3767/2014,2014/03/02","2014/03/02","3c3"
"5941","MF113173","MF113173,A/Guangdong/138/2015,2015/03/04","2015/03/04","3c3"
"5942","LC033337","LC033337,A/Nagasaki/13N049/2014,2014/02/03","2014/02/03","3c3"
"5943","LC033305","LC033305,A/Nagasaki/13N004/2014,2014/01/02","2014/01/02","3c3"
"5944","LC032889","LC032889,A/Kyoto/13K054/2014,2014/02/13","2014/02/13","3c3"
"5945","CY187381","CY187381,A/Japan/3713/2013,2013/12/06","2013/12/06","3c3"
"5946","KM208554","KM208554,A/Hangzhou/A789/2013,2013/11/21","2013/11/21","3c3"
"5947","MF150439","MF150439,A/Guangdong/519/2013,2013/09/02","2013/09/02","3c3"
"5948","KM063956","KM063956,A/Florida/12/2014,2014/02/03","2014/02/03","3c3"
"5949","KM208550","KM208550,A/Hangzhou/B690/2013,2013/11/15","2013/11/15","3c3"
"5950","KM064449","KM064449,A/West","449,A/West","3c3"
"5951","LC033313","LC033313,A/Nagasaki/13N007/2014,2014/01/13","2014/01/13","3c3"
"5952","MF113164","MF113164,A/Guangdong/704/2014,2014/06/04","2014/06/04","3c3"
"5953","KM208559","KM208559,A/Hangzhou/B721/2013,2013/11/25","2013/11/25","3c3"
"5954","KM064058","KM064058,A/Wisconsin/16/2013,2013/10/21","2013/10/21","3c3"
"5955","CY251583","CY251583,A/Sydney/1014/2013,2013/10/24","2013/10/24","3c3"
"5956","CY251687","CY251687,A/Sydney/26/2014,2014/03/01","2014/03/01","3c3"
"5957","KM208544","KM208544,A/Hangzhou/B599/2013,2013/10/15","2013/10/15","3c3"
"5958","KM208568","KM208568,A/Hangzhou/B750/2013,2013/12/05","2013/12/05","3c3"
"5959","KM064178","KM064178,A/Oregon/02/2013,2013/10/30","2013/10/30","3c3"
"5960","KM208549","KM208549,A/Hangzhou/A773/2013,2013/11/15","2013/11/15","3c3"
"5961","KM064239","KM064239,A/Washington/10/2014,2014/03/13","2014/03/13","3c3"
"5962","KM064391","KM064391,A/Kentucky/14/2013,2013/11/23","2013/11/23","3c3"
"5963","KM208540","KM208540,A/Hangzhou/A649/2013,2013/10/10","2013/10/10","3c3"
"5964","CY251703","CY251703,A/Canberra/2/2014,2014/01/23","2014/01/23","3c3"
"5965","MH393236","MH393236,A/China/718/2013,2013/11/18","2013/11/18","3c3"
"5966","KM208538","KM208538,A/Hangzhou/A544/2013,2013/08/27","2013/08/27","3c3"
"5967","KM208545","KM208545,A/Hangzhou/B600/2013,2013/10/15","2013/10/15","3c3"
"5968","KM208541","KM208541,A/Hangzhou/A662/2013,2013/10/10","2013/10/10","3c3"
"5969","KM208553","KM208553,A/Hangzhou/A784/2013,2013/11/21","2013/11/21","3c3"
"5970","KM064195","KM064195,A/Utah/17/2013,2013/10/23","2013/10/23","3c3"
"5971","KM208534","KM208534,A/Hangzhou/A158/2013,2013/03/01","2013/03/01","3c3"
"5972","KF789858","KF789858,A/West","858,A/West","3c3"
"5973","KM208569","KM208569,A/Hangzhou/B754/2013,2013/12/05","2013/12/05","3c3"
"5974","KM208542","KM208542,A/Hangzhou/A666/2013,2013/10/10","2013/10/10","3c3"
"5975","KM208539","KM208539,A/Hangzhou/A601/2013,2013/09/15","2013/09/15","3c3"
"5976","KM208546","KM208546,A/Hangzhou/A691/2013,2013/10/18","2013/10/18","3c3"
"5977","KM064018","KM064018,A/Washington/10/2013,2013/10/07","2013/10/07","3c3"
"5978","KM064503","KM064503,A/South","03,A/South","3c3"
"5979","KF789949","KF789949,A/New","9949,A/New","3c3"
"5980","KF790310","KF790310,A/Massachusetts/04/2013,2013/01/12","2013/01/12","3c3"
"5981","CY168415","CY168415,A/Boston/YGA_00086/2013,2013/01/29","2013/01/29","3c3"
"5982","KF790482","KF790482,A/Florida/09/2013,2013/04/01","2013/04/01","3c3"
"5983","KF790411","KF790411,A/Massachusetts/05/2013,2013/01/09","2013/01/09","3c3"
"5984","CY167967","CY167967,A/Boston/YGA_00014/2012,2012/12/28","2012/12/28","3c3"
"5985","CY168199","CY168199,A/Boston/YGA_00050/2013,2013/01/18","2013/01/18","3c3"
"5986","CY169479","CY169479,A/Boston/YGA_01133/2013,2013/01/03","2013/01/03","3c3"
"5987","CY169175","CY169175,A/Boston/YGA_01091/2012,2012/12/29","2012/12/29","3c3"
"5988","CY169015","CY169015,A/Boston/YGA_01068/2012,2012/12/27","2012/12/27","3c3"
"5989","CY169631","CY169631,A/Boston/YGA_01153/2013,2013/01/05","2013/01/05","3c3"
"5990","CY169279","CY169279,A/Boston/YGA_01105/2012,2012/12/31","2012/12/31","3c3"
"5991","CY168215","CY168215,A/Boston/YGA_00052/2013,2013/01/18","2013/01/18","3c3"
"5992","CY168207","CY168207,A/Boston/YGA_00051/2013,2013/01/18","2013/01/18","3c3"
"5993","CY168287","CY168287,A/Boston/YGA_00064/2013,2013/02/15","2013/02/15","3c3"
"5994","CY169687","CY169687,A/Boston/YGA_01160/2013,2013/01/07","2013/01/07","3c3"
"5995","CY148444","CY148444,A/Boston/DOA2-115/2012,2012/12/05","2012/12/05","3c3"
"5996","CY168015","CY168015,A/Boston/YGA_00021/2012,2012/12/31","2012/12/31","3c3"
"5997","CY168079","CY168079,A/Boston/YGA_00031/2013,2013/01/09","2013/01/09","3c3"
"5998","CY167959","CY167959,A/Boston/YGA_00012/2012,2012/12/27","2012/12/27","3c3"
"5999","CY169303","CY169303,A/Boston/YGA_01108/2012,2012/12/31","2012/12/31","3c3"
"6000","CY141202","CY141202,A/Georgia/3187/2013,2013/01/11","2013/01/11","3c3"
"6001","KF789585","KF789585,A/Florida/46/2012,2012/11/23","2012/11/23","3c3"
"6002","KF789889","KF789889,A/Wisconsin/51/2012,2012/12/11","2012/12/11","3c3"
"6003","KF789895","KF789895,A/New","9895,A/New","3c3"
"6004","CY141282","CY141282,A/Washington/3267/2013,2013/01/07","2013/01/07","3c3"
"6005","CY171527","CY171527,A/Chicago/YGA_04121/2012,2012/12/30","2012/12/30","3c3"
"6006","CY148868","CY148868,A/Boston/DOA2-174/2013,2013/01/04","2013/01/04","3c3"
"6007","CY169263","CY169263,A/Boston/YGA_01103/2012,2012/12/31","2012/12/31","3c3"
"6008","CY170119","CY170119,A/Boston/YGA_02003/2012,2012/12/17","2012/12/17","3c3"
"6009","CY171031","CY171031,A/Santa","31,A/Santa","3c3"
"6010","CY170447","CY170447,A/Santa","47,A/Santa","3c3"
"6011","CY168927","CY168927,A/Boston/YGA_01056/2012,2012/12/26","2012/12/26","3c3"
"6012","CY141278","CY141278,A/Washington/3263/2013,2013/01/01","2013/01/01","3c3"
"6013","CY251511","CY251511,A/South","11,A/South","3c3"
"6014","KF789736","KF789736,A/Montana/03/2013,2013/02/21","2013/02/21","3c3"
"6015","KF789770","KF789770,A/North","70,A/North","3c3"
"6016","CY149100","CY149100,A/Boston/DOA2-214/2013,2013/01/07","2013/01/07","3c3"
"6017","CY149028","CY149028,A/Boston/DOA2-199/2013,2013/01/17","2013/01/17","3c3"
"6018","KF952376","KF952376,A/Delhi/1550/2013,2013/02/19","2013/02/19","3c"
"6019","KF952381","KF952381,A/Delhi/1833/2013,2013/02/20","2013/02/20","3c"
"6020","KF952365","KF952365,A/Haryana/706/2013,2013/02/13","2013/02/13","3c"
"6021","KF952366","KF952366,A/Haryana/707/2013,2013/02/13","2013/02/13","3c"
