"","D_Lab","Date"
"8678","MH083997","2018/01/01"
"1165","CY262073","2017/11/09"
"6799","CY245547","2017/09/05"
"3760","MK999546","2019/03/04"
"4845","MK576232","2019/01/07"
"2607","MK401378","2018/03/26"
"4841","MK502283","2018/03/22"
"129","MH183469","2018/02/02"
"7180","MK181919","2018/09/10"
"1909","MK399287","2018/11/13"
"7502","MK364663","2018/09/14"
"7503","MK364580","2018/09/14"
"5791","MK785449","2019/01/30"
"12327","MK025755","2018/07/25"
"4840","MK401394","2018/05/07"
"8333","MK380033","2018/11/13"
"91","MK475542","2018/12/01"
"92","MK626037","2018/12/11"
"4616","MK626237","2018/12/11"
"7516","MK364111","2018/10/03"
"6345","MK475239","2018/12/03"
"6878","MK475438","2018/11/26"
"12631","MK245862","2018/10/10"
"3465","MK839651","2019/01/24"
"10751","MN081418","2019/04/16"
"1351","MK399184","2018/10/31"
"1353","MN371624","2018/10/31"
"1352","MK556945","2018/10/31"
"1378","MK475470","2018/11/21"
"5522","MK557206","2018/09/30"
"7098","MK576922","2019/01/07"
"7015","MK631380","2019/01/14"
"12471","MN074013","2019/04/01"
"7306","MN004234","2019/02/23"
"11019","MK772874","2019/01/29"
"10602","MK905331","2019/02/15"
"6518","MK475366","2018/12/03"
"12534","MK623877","2019/01/03"
"3822","MH894525","2018/07/20"
"632","MK898986","2018/11/03"
"6508","MK292555","2018/10/10"
"1071","MK630818","2019/01/02"
"1227","MK715818","2019/01/25"
"5870","MK557286","2018/12/20"
"87","MK398822","2018/11/06"
"5476","MK631209","2019/01/19"
"5716","MN003986","2019/02/07"
"7000","MK399100","2018/11/08"
"6990","MN003433","2019/03/12"
"6350","MN004090","2019/03/26"
"5488","MK676558","2019/02/03"
"5873","MK557294","2018/12/20"
"3856","MK380021","2018/10/02"
"3413","MK868696","2019/02/05"
"3480","MK960119","2019/03/04"
"422","MK380018","2018/11/09"
"777","MK912269","2019/02/05"
"11437","MK576269","2018/12/28"
"11429","MK576265","2018/12/31"
"11461","MK742978","2019/01/18"
"2291","MK557022","2018/12/11"
"3859","MK631090","2018/12/28"
"7187","MK399146","2018/11/11"
"12950","MK399248","2018/11/16"
"11450","MK576281","2019/01/16"
"11427","MK577026","2018/12/24"
"1185","MH083397","2017/12/30"
"4837","MK381487","2018/01/31"
"3821","CY250139","2017/09/03"
"12138","MH636834","2018/03/20"
"12137","MH636832","2018/03/16"
"12135","MH636830","2018/02/11"
"12134","MH636831","2018/02/03"
"8072","MH360111","2018/02/23"
"1502","MK898414","2018/01/02"
"1501","MG914243","2017/12/21"
"12335","MK623837","2018/12/12"
"12443","MK635633","2018/12/13"
"7183","MK364719","2018/10/01"
"4838","MK381489","2018/03/21"
"4839","MK401393","2018/01/31"
"3789","MH600225","2018/03/12"
"2158","MH446529","2018/02/27"
"12156","MH125560","2018/01/29"
"181","MH600144","2018/04/14"
"154","MH359822","2018/03/12"
"9128","LC376820","2017/12/13"
"7177","CY244798","2017/08/11"
"3819","CY250147","2017/09/02"
"3820","CY256397","2017/09/02"
"12603","CY250155","2017/09/27"
"8290","MH540687","2018/04/17"
"421","MH083357","2017/12/19"
"8064","MH245873","2018/02/20"
"164","MH601274","2018/03/09"
"4753","MK400753","2018/01/23"
"2278","MH600191","2018/03/14"
"3772","MH245981","2018/02/12"
"6436","MH083792","2017/12/30"
"5799","CY265229","2017/11/30"
"1179","MG830709","2017/12/20"
"1171","CY265371","2017/12/07"
"2119","MH125461","2018/01/17"
"4342","MH211231","2017/09/04"
"4345","MH211232","2017/09/10"
"12139","MH636833","2018/02/28"
"11200","CY242533","2017/08/08"
"3036","MH125505","2018/01/29"
"8000","MH083909","2018/01/03"
"55","MH125602","2018/01/12"
"8021","MH125567","2018/01/27"
"2027","MH083437","2017/12/21"
"4349","MH211340","2017/10/25"
"4501","MG271905","2017/06/19"
"4373","MG271903","2017/05/25"
"4383","MG271904","2017/06/21"
"4504","MG271901","2017/07/20"
"4423","MG271885","2017/05/22"
"4500","MG271898","2017/05/31"
"4526","MG271908","2017/08/07"
"4380","MG271883","2017/03/28"
"4381","MG271882","2017/05/12"
"4395","MF319562","2017/01/24"
"4385","MF319585","2016/12/17"
"4391","MF319574","2017/01/22"
"6977","CY225574","2017/02/19"
"11807","MK226519","2017/02/28"
"12136","MH636829","2018/02/23"
"1831","MK226522","2017/03/06"
"11808","MK226520","2017/03/08"
"7148","CY223557","2017/02/21"
"4495","MF319589","2017/02/10"
"4435","MF319564","2017/02/03"
"4375","MF319581","2017/03/20"
"4420","MH333272","2017/05/14"
"4419","MH333273","2017/05/16"
"4522","MF319576","2017/03/07"
"652","MH637478","2017/11/17"
"6129","CY245539","2017/08/29"
"3086","CY233896","2017/04/02"
"5826","CY225550","2017/02/16"
"8730","CY231288","2017/03/14"
"12230","CY244413","2017/04/04"
"12186","CY229077","2017/03/25"
"12382","CY236138","2017/04/16"
"4523","MF319578","2017/03/13"
"4374","MF319580","2017/03/16"
"4493","MF319570","2017/01/09"
"4498","MG271886","2017/05/02"
"4414","MG271887","2017/04/15"
"4434","MG271896","2017/05/16"
"4529","MG271894","2017/03/13"
"4499","MG271897","2017/05/18"
"4387","MF319571","2017/01/09"
"5214","MF510838","2017/03/03"
"5218","MF510840","2017/03/14"
"4413","MF319583","2017/04/06"
"4388","MF319568","2017/01/12"
"8270","CY225534","2017/02/10"
"8271","CY228973","2017/02/10"
"4392","MF319573","2017/01/27"
"4379","MG271881","2017/05/12"
"4889","MK159035","2017/10/30"
"4421","MH333271","2017/05/11"
"4386","MF319569","2017/01/09"
"365","CY238955","2017/05/07"
"12354","CY236230","2017/04/21"
"4355","MH211347","2017/09/04"
"4524","MF319577","2017/04/07"
"4394","MF319566","2017/02/06"
"4393","MF319565","2017/01/31"
"1125","CY258660","2017/10/14"
"5740","CY229021","2017/03/09"
"4389","MF319567","2017/01/16"
"4412","MF319584","2017/04/06"
"4492","MF319572","2017/01/03"
"5220","MF510837","2017/03/28"
"5217","MF510839","2017/03/13"
"5215","MF510835","2017/03/08"
"5216","MF510836","2017/03/09"
"9051","KX407491","2016/02/07"
"12048","KX410131","2016/03/08"
"643","KY487506","2016/03/10"
"7583","CY210041","2016/03/11"
"3406","CY209775","2016/03/07"
"2208","CY209854","2016/03/18"
"636","KY487689","2016/02/23"
"3069","KX407051","2016/02/16"
"8715","KY044543","2016/02/21"
"2164","KX411339","2016/04/12"
"12212","KX408155","2016/01/28"
"1113","KX004707","2015/11/06"
"1112","KU509775","2015/11/06"
"1111","KX004364","2015/11/06"
"1876","KY045104","2016/02/04"
"1893","KU509671","2015/11/21"
"7077","CY208449","2016/03/07"
"5710","KX410619","2016/02/16"
"8725","KX918652","2016/02/23"
"11991","CY210059","2016/03/11"
"12218","CY209876","2016/03/21"
"7664","KX408203","2015/12/30"
"10869","KY487744","2016/01/21"
"648","KY615559","2016/03/21"
"7342","KX409619","2016/03/14"
"12359","KX949284","2016/02/24"
"12386","KX410347","2016/03/14"
"2098","KX023795","2016/02/23"
"12982","KY273046","2016/03/21"
"11129","KX918980","2016/02/22"
"6286","KX410227","2016/03/20"
"12427","KX915228","2016/04/11"
"12373","KX408003","2016/02/26"
"11133","KX919028","2016/02/29"
"4291","KX411155","2016/03/17"
"3796","KX411459","2016/03/23"
"2002","KX915908","2016/03/23"
"11185","KX406259","2016/01/24"
"8772","KX005688","2015/12/30"
"3653","KY648951","2016/03/01"
"10695","CY210116","2016/02/18"
"10698","CY210120","2016/02/19"
"10682","CY208176","2016/01/30"
"10700","CY210122","2016/02/20"
"10708","CY210133","2016/03/29"
"3659","KY648957","2016/03/01"
"12401","CY208394","2016/02/25"
"12409","CY210062","2016/02/25"
"10702","CY210125","2016/02/22"
"4203","KX915668","2016/04/21"
"4205","KX915676","2016/05/02"
"5884","CY209859","2016/03/23"
"6981","KX411027","2016/03/25"
"640","KY487543","2016/03/02"
"7086","CY210036","2016/03/15"
"10696","CY210117","2016/02/18"
"5772","CY208364","2016/03/04"
"5769","CY208361","2016/02/29"
"10707","CY210132","2016/03/21"
"7198","KX915372","2016/04/06"
"6211","KX405987","2016/01/06"
"12612","KX409787","2016/03/12"
"8285","KX410659","2016/03/25"
"6288","KX410771","2016/03/31"
"4681","KX916004","2016/05/13"
"8381","KX408947","2016/02/08"
"8092","KX411251","2016/03/16"
"5392","KX915940","2016/04/01"
"2085","KU761522","2016/01/27"
"3712","KX214539","2015/12/30"
"13109","MG982609","2017/02/11"
"13108","MG982610","2017/02/11"
"13097","MG982612","2017/03/04"
"4880","MF768683","2015/11/07"
"2051","KX014852","2016/01/29"
"2052","KX237695","2016/01/29"
"2089","KX254941","2016/03/03"
"12148","KX005857","2016/01/04"
"12075","KX919188","2016/07/02"
"12964","CY208396","2016/02/24"
"7250","KX005618","2016/01/27"
"12870","KX919452","2016/05/27"
"7665","KX915468","2016/04/20"
"6501","KX410283","2016/03/06"
"5085","KX004635","2015/12/21"
"363","KX406883","2016/02/08"
"6111","KX406571","2016/02/11"
"6193","KX919316","2016/04/18"
"2081","KX237716","2016/02/15"
"4882","MF768651","2015/11/07"
"9413","MK246052","2015/12/01"
"5666","MG230402","2016/01/05"
"4874","MF768707","2015/10/20"
"4879","MF768627","2015/11/07"
"9787","KY284527","2015/12/15"
"9779","KY284533","2015/11/16"
"3491","KY328769","2016/01/01"
"623","KY328768","2016/01/05"
"9414","MK246053","2015/02/22"
"13041","MG230407","2016/01/10"
"13027","MG230364","2015/11/23"
"6290","KU509919","2015/10/12"
"240","KX088394","2016/01/04"
"3352","KX408595","2016/02/02"
"5369","KX407819","2016/02/17"
"2070","KX014870","2016/02/03"
"4877","MF768731","2015/11/07"
"236","KX088389","2015/12/22"
"6598","KX775415","2016/02/19"
"8311","CY208258","2016/02/19"
"4884","MF768675","2015/11/08"
"3711","KX214544","2015/12/24"
"2072","KX237704","2016/02/05"
"2049","KU761507","2016/01/28"
"2057","KX237698","2016/02/01"
"2053","KX014855","2016/01/31"
"765","KX214540","2015/12/30"
"8787","KX411795","2016/03/31"
"6303","KX005825","2015/12/17"
"5505","KX915324","2016/04/18"
"4612","KX410739","2016/03/17"
"12635","KX410259","2016/03/18"
"8082","KX005526","2015/12/25"
"11011","KX409259","2016/02/09"
"4941","KX005574","2016/01/27"
"1132","KX919276","2016/05/12"
"4304","KX411203","2016/02/09"
"1117","KX004194","2015/10/19"
"160","KX004186","2015/11/02"
"161","KX004699","2015/11/02"
"1116","KY044902","2015/10/19"
"1118","KX405955","2015/10/19"
"6301","KX004049","2015/11/16"
"5735","KX004461","2015/12/27"
"3404","CY209773","2016/03/01"
"3656","KY648954","2016/03/01"
"8692","KX005082","2016/01/05"
"4595","KX407755","2016/03/01"
"11033","KX918740","2016/04/14"
"4270","KX411091","2016/03/27"
"4273","KX411099","2016/03/24"
"4604","KX409923","2016/03/05"
"4299","KX411195","2016/02/09"
"12219","KX915916","2016/04/19"
"6474","KX406755","2016/01/31"
"12882","KX004086","2015/12/23"
"4293","KX411163","2016/03/15"
"6800","KX407155","2016/02/10"
"2001","KX915892","2016/03/22"
"6516","KX004906","2015/12/31"
"11112","KX408371","2016/01/18"
"5502","KX411507","2016/04/18"
"3383","KX918844","2016/03/08"
"12586","KX006245","2016/01/23"
"9536","MG230365","2015/11/23"
"9393","MK246030","2015/11/16"
"4617","KX411843","2016/04/14"
"8291","KX919292","2016/06/23"
"6374","CY209860","2016/03/25"
"11138","KX919060","2016/03/02"
"7538","CY208167","2016/02/01"
"12552","KX005227","2016/01/07"
"4279","KX411123","2016/03/06"
"8318","CY208468","2016/02/29"
"8274","KX407299","2016/02/19"
"11335","KX407851","2016/03/07"
"5386","KX915196","2016/03/22"
"11148","KX411491","2016/03/23"
"4794","KX214543","2015/12/25"
"239","KX088392","2015/12/25"
"3324","KX408219","2016/01/05"
"2339","MG745920","2016/01/15"
"10628","KX407091","2016/02/01"
"11882","KX406115","2016/01/09"
"10990","KY634452","2015/12/10"
"5652","MG230340","2015/11/16"
"13037","MG230398","2016/01/05"
"13031","MG230375","2015/11/28"
"13032","MG230376","2015/11/28"
"9539","MG230377","2015/11/28"
"13033","MG230378","2015/12/02"
"9538","MG230374","2015/11/26"
"9534","MG230349","2015/11/17"
"13035","MG230382","2015/12/10"
"9535","MG230351","2015/11/17"
"13034","MG230381","2015/12/10"
"13054","MG230352","2015/11/22"
"13042","MG230413","2016/01/16"
"5676","MG230423","2016/01/26"
"13046","MG230425","2016/01/26"
"9544","MG230426","2016/01/26"
"5671","MG230412","2016/01/15"
"5662","MG230393","2015/12/12"
"12615","KX409795","2016/03/13"
"12550","KX005219","2016/01/11"
"6182","KX410427","2016/02/27"
"7176","KX410027","2016/02/28"
"5650","MG230336","2015/11/07"
"5661","MG230387","2015/12/12"
"9532","MG230339","2015/11/12"
"5663","MG230394","2015/12/12"
"2210","CY210012","2016/03/02"
"5077","KX409635","2016/02/23"
"7741","CY258951","2016/02/19"
"11037","KX915028","2016/03/09"
"6413","KX409595","2016/03/08"
"8395","KX915244","2016/04/12"
"12951","KX915524","2016/04/08"
"6400","KX409147","2016/02/03"
"32","KX097048","2016/01/04"
"9540","MG230383","2015/12/10"
"13029","MG230367","2015/11/23"
"9398","MK246035","2015/12/18"
"5660","MG230392","2015/12/12"
"9541","MG230389","2015/12/12"
"9390","MK246024","2015/10/11"
"8315","CY208381","2016/03/02"
"8095","KX915740","2016/04/01"
"8712","KX408051","2016/02/29"
"8783","KX918828","2016/03/24"
"8776","KX915452","2016/03/07"
"6291","KX004138","2015/10/12"
"6292","KX949394","2015/10/12"
"4259","KX004106","2015/10/20"
"3768","KX409475","2016/03/02"
"13115","MG982604","2016/04/06"
"6498","KX407707","2016/02/29"
"12988","KY273040","2016/02/15"
"7087","CY210037","2016/03/25"
"6232","KX005346","2016/01/19"
"10550","KX006096","2016/01/27"
"403","CY208421","2016/02/29"
"1223","KX406467","2016/01/14"
"6480","KX406771","2016/02/03"
"11990","CY210058","2016/03/01"
"11914","KX407651","2016/02/29"
"5664","MG230395","2016/01/02"
"9537","MG230373","2015/11/25"
"2010","KX915876","2016/03/31"
"4983","KX409659","2016/03/09"
"7883","MK733084","2015/11/06"
"9394","MK246031","2015/10/26"
"7910","MK733124","2015/11/13"
"3384","KX918852","2016/03/10"
"11959","KY003249","2016/05/02"
"6495","KX407691","2016/02/24"
"12418","KX915164","2016/03/22"
"12350","KX407219","2016/02/19"
"12352","KX407235","2016/02/19"
"12340","KX406539","2016/02/08"
"1755","KX097037","2016/01/07"
"11150","KX408483","2016/02/01"
"6979","KY045227","2016/03/18"
"7734","CY259759","2016/03/12"
"8283","KX409899","2016/03/17"
"5816","KX406307","2016/01/23"
"6189","KX005628","2015/10/19"
"6186","KX949356","2015/10/24"
"12600","KX407203","2016/02/23"
"5715","KX410627","2016/02/24"
"12185","KX914924","2016/02/18"
"2075","KU761510","2016/01/24"
"2087","KX254953","2016/03/09"
"10691","CY210108","2016/02/16"
"10692","CY210113","2016/02/17"
"10694","CY210115","2016/02/17"
"1296","CY208143","2015/12/29"
"238","KX088391","2015/12/25"
"235","KX088388","2015/12/22"
"237","KX214545","2015/12/23"
"1297","CY208144","2016/01/19"
"241","KX088395","2016/01/04"
"8320","CY210048","2016/03/04"
"187","CY208335","2016/02/24"
"242","KX097038","2016/01/07"
"233","KX088386","2015/12/18"
"2083","KX237692","2016/02/16"
"3328","KX005602","2016/01/08"
"7658","KX916044","2016/04/11"
"4286","KX411131","2016/03/17"
"6076","KX004826","2016/01/19"
"6450","KX004922","2016/01/02"
"6454","KX004938","2016/01/09"
"12441","KY003295","2016/05/15"
"12650","KX410987","2016/04/06"
"6283","KX410219","2016/03/17"
"6239","KX407267","2016/02/16"
"6229","KX408659","2016/02/11"
"6228","KX408651","2016/02/11"
"11956","KX915828","2016/05/01"
"5127","CY208358","2016/02/23"
"8112","CY208256","2016/02/22"
"3398","KX919156","2016/03/09"
"443","KX406723","2016/02/14"
"464","KX411595","2016/04/19"
"3397","KX409523","2016/03/09"
"12164","KX408467","2016/02/02"
"12221","KX918708","2016/04/27"
"11157","KX919364","2016/02/07"
"2207","CY209853","2016/03/17"
"479","CY208423","2016/03/01"
"8313","CY208317","2016/02/19"
"1895","KX915068","2016/03/12"
"6821","CY208150","2016/01/13"
"2206","CY208350","2016/03/03"
"2202","CY208241","2016/02/18"
"5685","KX406955","2016/01/26"
"9400","MK246037","2015/12/22"
"4862","MF768595","2015/11/15"
"380","KY045180","2016/02/15"
"4253","KX411043","2016/02/22"
"4264","KX411075","2016/03/21"
"11387","KX409339","2016/01/21"
"381","KX407803","2016/02/15"
"8301","CY245523","2017/08/24"
"4967","KX407483","2016/02/17"
"13023","MG230343","2015/11/18"
"8789","KX915124","2016/04/06"
"2076","KU761513","2016/01/21"
"2079","KX237710","2016/02/12"
"2082","KX237719","2016/02/15"
"2092","KX254956","2016/03/17"
"2084","KX254935","2016/02/23"
"2071","KX014849","2016/02/04"
"2094","KX254962","2016/03/17"
"2090","KX254944","2016/03/03"
"2080","KX237725","2016/02/17"
"2059","KX237701","2016/02/01"
"2055","KX014858","2016/02/01"
"2058","KX254932","2016/02/01"
"2093","KU761525","2016/01/26"
"12167","KX408747","2016/02/19"
"6596","KX775399","2016/02/05"
"6597","KX775407","2016/02/17"
"12400","CY208393","2016/02/24"
"1320","KX407427","2016/02/01"
"11926","KX915004","2016/03/07"
"1302","KX407395","2016/02/02"
"9108","KX775375","2016/01/22"
"12880","KU589324","2015/12/09"
"9395","MK246032","2015/11/01"
"12881","KU589411","2015/12/09"
"1358","KX409947","2016/02/08"
"12211","KX410539","2016/03/17"
"7248","KX408363","2016/01/25"
"4289","KX411147","2016/03/20"
"4307","KX915436","2016/04/01"
"8033","KX406203","2016/01/19"
"10627","KX407083","2016/02/02"
"5879","CY208366","2016/03/02"
"7580","CY209867","2016/03/28"
"6372","CY208305","2016/02/19"
"3127","CY208203","2016/02/09"
"8714","KX409563","2016/02/29"
"3763","KX409811","2016/03/01"
"2142","KX407467","2016/02/29"
"3835","KY115734","2016/06/11"
"3836","KX919196","2016/06/11"
"5374","KX410411","2016/02/29"
"3336","KX408259","2016/01/17"
"7730","CY259703","2016/03/17"
"8707","KX407763","2016/02/25"
"2069","KX014867","2016/02/03"
"2088","KX254938","2016/03/03"
"2078","KU761519","2016/01/25"
"96","CY208197","2016/02/09"
"12425","KX915268","2016/04/07"
"10704","CY210128","2016/02/23"
"10688","CY210105","2016/02/12"
"6505","KX410299","2016/03/02"
"7561","CY208369","2016/02/23"
"12431","KX005442","2015/12/28"
"5506","KX915332","2016/04/20"
"11928","KX410691","2016/03/28"
"11909","KX406899","2016/02/13"
"1897","KX004073","2015/12/08"
"12963","CY208266","2016/02/16"
"8584","KX410523","2016/03/18"
"4865","MF768635","2015/11/19"
"4309","KX411771","2016/04/11"
"12162","KX408459","2016/02/02"
"4308","KX411763","2016/04/08"
"1152","KY044889","2016/07/31"
"1379","KX914988","2016/02/14"
"4833","CY209777","2016/03/07"
"100","CY208284","2016/02/17"
"3660","KY648959","2016/03/01"
"59","KX409707","2016/03/10"
"8187","CY208168","2016/01/21"
"8578","KX407883","2016/03/01"
"12348","KX406579","2016/01/21"
"8167","KX407259","2016/02/12"
"8166","KY045129","2016/02/13"
"8165","KY045122","2016/02/13"
"6971","KX407923","2016/03/01"
"4632","KX410635","2016/02/19"
"8791","KX915932","2016/05/03"
"11144","KX410459","2016/03/16"
"12654","KX411835","2016/04/03"
"6306","KY045303","2016/04/22"
"8174","KX410955","2016/03/28"
"10672","CY210052","2016/03/25"
"5865","KX411611","2016/04/03"
"1903","KX915172","2016/04/04"
"6483","KX406779","2016/02/12"
"5081","CY225470","2017/02/08"
"4567","CY220839","2017/01/25"
"5098","CY228997","2017/03/07"
"5097","CY228981","2017/03/07"
"5056","CY216977","2017/01/09"
"11025","CY226599","2017/01/20"
"11113","CY216873","2017/01/03"
"6824","CY243942","2017/01/24"
"10621","CY217017","2017/01/01"
"6789","CY221598","2017/02/08"
"1957","CY217049","2017/01/04"
"10629","CY220799","2017/01/30"
"4179","KX407643","2016/02/20"
"11041","KX915036","2016/03/20"
"12958","KX915684","2016/04/20"
"6517","KX915420","2016/03/31"
"9392","MK246029","2015/11/15"
"3137","KX411563","2016/04/06"
"4887","MF768811","2015/11/08"
"3742","KX407547","2016/02/12"
"3743","KX407555","2016/02/21"
"3132","CY209856","2016/03/25"
"10635","KX411643","2016/02/28"
"4652","KX411019","2016/04/04"
"6244","KX407275","2016/02/17"
"4533","KX005402","2016/01/06"
"10699","CY210121","2016/02/19"
"10690","CY210107","2016/02/16"
"3813","KX915972","2016/03/24"
"7565","CY208374","2016/03/07"
"439","KX005466","2016/01/09"
"6174","KX918876","2016/03/23"
"4864","MF768859","2015/11/19"
"9405","MK246043","2015/12/10"
"5690","KX406963","2016/02/01"
"8308","CY208169","2016/01/19"
"5880","CY208444","2016/02/29"
"12868","KX916076","2016/04/05"
"11502","KX918956","2016/02/15"
"8175","CY262033","2017/11/23"
"152","CY239577","2017/06/24"
"3809","CY244814","2017/07/31"
"9107","KX775367","2016/01/23"
"491","KX775359","2016/01/22"
"10687","CY210104","2016/02/12"
"9038","KX005490","2016/01/19"
"5283","KX775383","2016/01/29"
"5282","KX775343","2015/12/23"
"5849","KX919132","2016/03/11"
"8310","CY208171","2016/02/05"
"2994","KX005074","2016/01/13"
"9045","KX006205","2016/02/01"
"9046","KX408443","2016/02/01"
"8150","KX005745","2016/01/19"
"4272","KU509735","2015/10/29"
"4275","KU509609","2015/11/09"
"9403","MK246040","2015/11/30"
"4263","KU509879","2015/10/31"
"4262","KU509791","2015/10/31"
"4285","KX005713","2015/11/28"
"4591","KX407147","2016/02/10"
"12866","KX411907","2016/04/21"
"8139","KX004890","2016/01/04"
"12143","KX005634","2016/01/07"
"11142","KX919092","2016/03/23"
"6125","KX406827","2016/02/02"
"6124","KY045067","2016/02/02"
"4660","KX411747","2016/03/23"
"4886","MF768851","2015/11/08"
"12595","KX407067","2016/02/16"
"8115","CY210045","2016/03/11"
"8111","CY208255","2016/02/16"
"8029","KX406195","2016/01/19"
"10612","KX523744","2016/03/08"
"8388","KX410971","2016/03/09"
"4282","KX915100","2016/03/06"
"6370","CY208303","2016/02/06"
"7726","CY259655","2016/03/09"
"12407","CY209878","2016/03/10"
"8775","KX408291","2015/12/29"
"6293","KX949404","2015/10/12"
"104","CY209761","2016/03/10"
"5126","CY208357","2016/02/23"
"11034","KX410435","2016/03/08"
"8393","KX915236","2016/04/08"
"10537","CY217065","2017/01/02"
"8261","KX408499","2016/02/05"
"9781","KY284525","2015/01/03"
"9784","KY284526","2015/01/01"
"9789","KY284535","2015/01/15"
"9780","KY284534","2015/10/28"
"9778","KY284532","2015/01/20"
"9777","KY284531","2015/02/20"
"9788","KY284528","2015/02/02"
"9791","KY284529","2015/02/20"
"9769","KY284524","2015/11/22"
"8796","KY003288","2016/04/02"
"1299","CY208200","2016/02/10"
"4885","MF768755","2015/11/08"
"4866","MF768787","2015/11/12"
"6014","MF593501","2016/02/28"
"3655","KY648953","2016/03/01"
"13124","MG982607","2016/02/25"
"3658","KY648956","2016/03/01"
"1832","KY509806","2016/01/18"
"30","KX097044","2016/01/04"
"26","KX088384","2015/12/11"
"28","KX097043","2015/01/31"
"6188","KU509687","2015/11/03"
"9531","MG230338","2015/11/12"
"3125","KX410827","2016/03/28"
"5657","MG230372","2015/11/25"
"27","KX214551","2015/12/30"
"29","KX214552","2015/12/31"
"31","KX097045","2016/01/04"
"251","KX097042","2016/01/09"
"804","KX214549","2016/01/02"
"4489","MF319592","2016/04/13"
"234","KX088387","2015/12/21"
"10532","KU504699","2015/12/01"
"6181","KX918916","2016/04/07"
"8312","CY208260","2016/02/12"
"1097","KX006047","2016/01/08"
"12155","KX005841","2016/01/27"
"2152","KX409827","2016/03/15"
"8784","KX411779","2016/03/24"
"7737","CY259791","2016/02/29"
"12597","KX407075","2016/02/20"
"3129","CY208429","2016/02/27"
"1883","KX407843","2016/02/22"
"12581","KX409083","2016/02/01"
"12572","KY044712","2016/01/27"
"12537","KX005946","2016/01/20"
"12546","KX918484","2016/01/27"
"12577","KX409051","2016/01/28"
"12591","KX006314","2016/02/08"
"6173","KX918868","2016/03/16"
"6190","KX411411","2016/03/28"
"12583","KX409091","2016/02/01"
"12601","KX407211","2016/02/24"
"12642","KX410267","2016/03/21"
"12984","KY273048","2016/04/06"
"5759","CY236275","2017/05/12"
"4217","KX005298","2015/12/30"
"4216","KX004611","2015/12/30"
"6299","KU589347","2015/11/17"
"4615","KX915148","2016/04/10"
"4608","KX409931","2016/03/14"
"4594","KX407747","2016/02/23"
"98","CY208228","2016/02/19"
"6938","CY208250","2016/02/16"
"6922","KX410067","2016/03/14"
"6180","KX918908","2016/03/31"
"6513","KX915412","2016/03/23"
"9533","MG230341","2015/11/17"
"5651","MG230337","2015/11/12"
"9407","MK246045","2015/02/15"
"7670","KX915476","2016/04/22"
"3403","CY208353","2016/03/07"
"5883","CY209858","2016/03/15"
"3104","KX410075","2016/03/09"
"11044","KX915284","2016/04/19"
"3849","KY003330","2016/09/07"
"3855","KY116814","2016/09/16"
"3745","CY214274","2016/12/06"
"3744","CY214266","2016/12/06"
"3870","CY211042","2016/10/31"
"3840","CY244091","2017/01/01"
"3871","CY211050","2016/11/01"
"3872","CY233752","2016/11/01"
"7447","KX409547","2016/03/24"
"7722","CY259607","2016/02/01"
"7304","KY045049","2016/02/07"
"7566","CY208375","2016/03/07"
"12993","KY273049","2016/05/17"
"324","CY223549","2017/02/19"
"358","CY236214","2017/04/24"
"315","CY220975","2017/02/05"
"13100","MG982617","2017/04/06"
"13101","MG982616","2017/04/06"
"335","CY229013","2017/02/27"
"13119","MG982614","2017/03/30"
"348","CY231320","2017/04/01"
"349","CY231170","2017/04/02"
"3730","CY220935","2017/01/18"
"13120","MG982619","2017/04/13"
"13121","MG982618","2017/04/12"
"376","CY239585","2017/06/15"
"2175","CY243782","2017/08/11"
"13098","MG982613","2017/03/29"
"7051","CY239625","2017/05/28"
"3665","KY648965","2016/03/01"
"3657","KY648955","2016/03/01"
"3663","KY648963","2016/03/01"
"5658","MG230391","2015/12/02"
"10684","CY209791","2016/02/29"
"3661","KY648960","2016/03/01"
"1984","KX919588","2016/02/29"
"3651","KY648949","2016/03/01"
"13030","MG230371","2015/11/25"
"7195","KX411419","2016/03/28"
"1879","KX407835","2016/02/28"
"7614","CY244244","2017/02/24"
"11188","CY218881","2017/01/21"
"11182","CY239529","2016/12/12"
"11181","CY213450","2016/12/12"
"11369","CY223421","2017/02/20"
"8605","KX004994","2015/12/12"
"8564","KX406651","2016/01/27"
"12424","KU589316","2015/12/07"
"8610","KX005793","2015/12/22"
"8609","KY044957","2015/12/22"
"490","KX775351","2016/01/14"
"4999","KX411731","2016/04/05"
"4995","KX411371","2016/03/31"
"7079","CY209861","2016/03/18"
"3405","CY209774","2016/03/01"
"8957","MF195588","2016/02/09"
"5728","KX004249","2015/12/12"
"2172","KX915764","2016/05/09"
"2990","KX005066","2016/01/07"
"5859","KX410979","2016/03/27"
"5321","KY949823","2015/12/17"
"10875","KY615515","2016/02/02"
"3846","KY003323","2016/09/02"
"10863","KY487273","2015/12/30"
"5324","KY949679","2016/01/08"
"5335","KY615441","2016/02/02"
"5330","KY615570","2016/01/20"
"10871","KY487436","2016/01/25"
"5334","KY615425","2016/02/02"
"6503","KX410291","2016/03/06"
"12387","KX410355","2016/03/14"
"6311","KX915596","2016/04/18"
"188","CY208419","2016/03/04"
"12404","KX411515","2016/04/11"
"3808","KX919436","2016/03/10"
"5333","KY487613","2016/02/01"
"3652","KY648950","2016/03/01"
"10873","KY487403","2016/02/02"
"5028","KY949643","2015/12/16"
